,filepath,pub_date,page_seq_num,edition_seq_num,batch,lccn,box,score,ocr,place_of_publication,geographic_coverage,name,publisher,url,page_url
0,khi_jennison_ver01/data/sn82014635/00280760523/1895092801/0605/003_0_96.jpg,1895-09-28,605,1,khi_jennison_ver01,sn82014635,"[0.8131183580000001, 0.5237411940000001, 0.9416957968, 0.6865472268]",0.9610310197,"['IB', 'Hill', 'm', 'HW', 'n', 'h', 'W', 'saw', 'IbB', 'fsssri', 'ssal', 'ssssl', 'fl', 'JHflflL', 'MWBn&tFfcim', 'a5', 'lllsBal', '9', 'bssh', ""IH'bssW"", 'bssR', 'ssssl', 'HI', 'aHI', '1', 'ssfl', 'saw', 'afaWl', 'El', 'B', 'IS', 'sT', 'frill', ""ITt'-rimissslsssss?-'"", ""'"", ""IsBBBBBBBSBBSsV'HOl"", 'BKbBBBbIBBb!', 'IfSHraHrSssE', 'I', 'JHHsBBBBBSSSIBaW', ""'"", 'SksSsBBBBBBBal', 'aT:&aUaaaDsZ\'""-MaaataVal', 'KEYSTONE', 'HOUSE', 'J', 'D', 'CnOLI.E?;BEEOBHt', 'Prnt,', '228,', '230', 'N', 'X', 'In', 'St.', '-', 'Wlch', 't', 'Kn', 'iCaU-t:', 'j.', 'a', 'day;', '&', 'a', 'week;', '20', 'a', 'm-al']","Wichita, Kan.",['Kansas--Sedgwick--Wichita'],The Wichita daily eagle. [volume],M.M. Murdock & R.P. Murdock,https://news-navigator.labs.loc.gov/data/khi_jennison_ver01/data/sn82014635/00280760523/1895092801/0605/003_0_96.jpg,https://chroniclingamerica.loc.gov/data/batches/khi_jennison_ver01/data/sn82014635/00280760523/1895092801/0605.jp2
1,iune_bravo_ver01/data/sn84025828/00294555705/1895021601/0651/001_0_96.jpg,1895-02-16,651,1,iune_bravo_ver01,sn84025828,"[0.7328515026, 0.048987254200000004, 0.9735511601000001, 0.2992571632]",0.962228179,"['li&', 'Cy', ""'jk"", 'saBBaBsBsBaBl', 'Upr', 'jag', 'H', 'm', ""';"", ""'"", '15', 'JHt.', '.ittl-H', 'H', 'HflHfll', 'B', ':4', 'WJff?S!W', 'vJH', 'ml', 'WjBBBflBHBRBBn', '.,,-,', 'aAW-,', 'ikk', ',,', 'iHlraK', 'f,', '.', 'KM', 'Jn', 'XsV', 'y', 'fiaBllllllilllllHiliH', 'V', 'y', 'SHHHBlB', 'aH', 'ft', 'jBMK', 'iliiiiiiiiiiHHrHiiHHHiiH', ',', 'iBr', 'HRHI', 'IB', 'HON.', 'FRANK', 'J.', 'GAULTER,']","Chicago, Ill.",['Illinois--Cook County--Chicago'],Chicago eagle. [volume],Henry F. Donovan,https://news-navigator.labs.loc.gov/data/iune_bravo_ver01/data/sn84025828/00294555705/1895021601/0651/001_0_96.jpg,https://chroniclingamerica.loc.gov/data/batches/iune_bravo_ver01/data/sn84025828/00294555705/1895021601/0651.jp2
2,uuml_hornacek_ver01/data/sn83045555/206539732/1895091001/0753/001_0_90.jpg,1895-09-10,753,1,uuml_hornacek_ver01,sn83045555,"[0.25892858420000003, 0.3121908003, 0.49818594920000003, 0.5251964449000001]",0.9081011415,"['m', 'C1KAND', 'OFBKA', 'IIOUSK', '1HILDIVO']",Great Salt Lake City [Utah],['Utah--Salt Lake--Salt Lake City'],Deseret evening news. [volume],G.Q. Cannon,https://news-navigator.labs.loc.gov/data/uuml_hornacek_ver01/data/sn83045555/206539732/1895091001/0753/001_0_90.jpg,https://chroniclingamerica.loc.gov/data/batches/uuml_hornacek_ver01/data/sn83045555/206539732/1895091001/0753.jp2
3,mohi_garfield_ver01/data/sn89067274/00294556977/1895062001/0106/007_0_96.jpg,1895-06-20,106,1,mohi_garfield_ver01,sn89067274,"[0.35857806010000004, 0.0499352234, 0.5598991258, 0.2769420621]",0.966317296,"['A', 'New', 'York', 'Woman', 'Who', 'Suffered', 'for', 'Four', 'Years', 'with', 'Nervous', 'Debility', ""Paine's"", 'Celery', 'Compound', 'Made', 'Her', 'Well.', 'I', 'I', 'til', '1', '2S)', 'S3', 'i', '1', 'a', 'sufferer', 'from', 'I', 'richer', 'blood', 'to', 'make', 'them', 'sound']","Mexico, Mo.",['Missouri--Audrain--Mexico'],Mexico weekly ledger.,R.M. White,https://news-navigator.labs.loc.gov/data/mohi_garfield_ver01/data/sn89067274/00294556977/1895062001/0106/007_0_96.jpg,https://chroniclingamerica.loc.gov/data/batches/mohi_garfield_ver01/data/sn89067274/00294556977/1895062001/0106.jp2
4,ct_maple_ver01/data/sn92051487/00271763232/1895122701/0414/000_0_96.jpg,1895-12-27,414,1,ct_maple_ver01,sn92051487,"[0.7417603115, 0.2510058169, 0.8448256583, 0.38829333580000003]",0.9666091204,"['H', 't', 'DEA', 'QEOBOB', 'A', 'LAN', 'SOX', 'HOTT,', '-I', 'fj']","Newtown, Conn.",['Connecticut--Fairfield--Newtown'],The Newtown bee.,A.A. Bensel,https://news-navigator.labs.loc.gov/data/ct_maple_ver01/data/sn92051487/00271763232/1895122701/0414/000_0_96.jpg,https://chroniclingamerica.loc.gov/data/batches/ct_maple_ver01/data/sn92051487/00271763232/1895122701/0414.jp2
5,mohi_eeyore_ver01/data/sn93060416/00294556424/1895060801/0313/001_0_94.jpg,1895-06-08,313,1,mohi_eeyore_ver01,sn93060416,"[0.35287022100000004, 0.4966324023, 0.5489909234, 0.7227614392]",0.9439458847000001,"['1', '-', "".'"", '-', ',.', 'II.', 'D.', 'UKMANU,', 'A.', '-M.', 'llnanliuoualy', 'elected,', 'for', 'the', 'tenth', 'time,', 'a', 'Superintendent', 'of', 'the', 'city', 'school.', 'The', 'choice', 'of', 'the', 'Board', 'ia', 'the', 'choice', 'of', 'the', 'people.']","Lexington, Mo.",['Missouri--Lafayette--Lexington'],The weekly intelligencer. [volume],James E. Payne,https://news-navigator.labs.loc.gov/data/mohi_eeyore_ver01/data/sn93060416/00294556424/1895060801/0313/001_0_94.jpg,https://chroniclingamerica.loc.gov/data/batches/mohi_eeyore_ver01/data/sn93060416/00294556424/1895060801/0313.jp2
6,vi_yes_ver01/data/sn84025841/00175032290/1895122101/0492/007_0_96.jpg,1895-12-21,492,1,vi_yes_ver01,sn84025841,"[0.40512182550000003, 0.5608228172, 0.5740507259000001, 0.744382092]",0.9616978765,[],"Richmond, Va.",['Virginia--Richmond'],Richmond planet. [volume],Planet Pub. Co.,https://news-navigator.labs.loc.gov/data/vi_yes_ver01/data/sn84025841/00175032290/1895122101/0492/007_0_96.jpg,https://chroniclingamerica.loc.gov/data/batches/vi_yes_ver01/data/sn84025841/00175032290/1895122101/0492.jp2
7,wvu_gorn_ver01/data/sn84037217/00271764856/1895121401/0212/001_0_94.jpg,1895-12-14,212,1,wvu_gorn_ver01,sn84037217,"[0.050006886300000004, 0.567664984, 0.29908366340000003, 0.6525351708]",0.940172255,['Ufc'],"Lewisburg, Va. [W. Va.]",['West Virginia--Greenbrier--Lewisburg'],Greenbrier independent. [volume],Joseph Granville,https://news-navigator.labs.loc.gov/data/wvu_gorn_ver01/data/sn84037217/00271764856/1895121401/0212/001_0_94.jpg,https://chroniclingamerica.loc.gov/data/batches/wvu_gorn_ver01/data/sn84037217/00271764856/1895121401/0212.jp2
8,uuml_layden_ver01/data/sn85058217/206534874/1895071201/0328/001_0_90.jpg,1895-07-12,328,1,uuml_layden_ver01,sn85058217,"[0.381187969, 0.2990800732, 0.8049859215, 0.4991525686]",0.9005362988000001,"['J', 'r', 'I', 't', 'I', 'it', '1', 'aJU', 't', '1', 'to', 'of', 'ii', 'a', 'l', '+', 'ut', 't', 'a1t', 'y', '3', 'r', 'r', 'r', 'Mt', 'ztty', 'etleo', 'j', 'Ymil', '0', 'T', 'y', 'v', '4', 'r', 's', 'k', 'IID', 'ciniiuv', 'AN', 'rsiiiiMi', 'HIIOIITHOUNIIIOM', 'AitMniis1', 'urviiv']","Coalville, Utah",['Utah--Summit--Coalville'],The Coalville times. [volume],Times Pub. Co.,https://news-navigator.labs.loc.gov/data/uuml_layden_ver01/data/sn85058217/206534874/1895071201/0328/001_0_90.jpg,https://chroniclingamerica.loc.gov/data/batches/uuml_layden_ver01/data/sn85058217/206534874/1895071201/0328.jp2
9,ndhi_europium_ver01/data/sn88076432/00271740700/1895122601/0761/001_0_98.jpg,1895-12-26,761,1,ndhi_europium_ver01,sn88076432,"[0.3354030918, 0.6362055585, 0.7709138771, 0.8122438508000001]",0.9819304347000001,"['I', ""1$'"", ',)r', '1', ""J'...."", 'I', 'it', 'Harvesting', 'Scene', 'in', 'North', 'Dakota.', ',rhr""yr', 'a', 'I', '...', 'A', 'r.v']","Langdon, N.D.",['North Dakota--Cavalier--Langdon'],Courier Democrat.,Koehmstedt & McLean,https://news-navigator.labs.loc.gov/data/ndhi_europium_ver01/data/sn88076432/00271740700/1895122601/0761/001_0_98.jpg,https://chroniclingamerica.loc.gov/data/batches/ndhi_europium_ver01/data/sn88076432/00271740700/1895122601/0761.jp2
